"cuny_subject","short_title"
"EDUC","Res In Theory"
"EDUC","Sochist&Philfoundsof"
"EDUC","Struct Multi-Cult Clssrm Acad"
"EDUC","Struct Of Lang Ed En"
"EDUC","Stu Tchg Bi Sp Ed I"
"EDUC","Stu Tchg Bi Sp Ed Ii"
"EDUC","Student Teach"
"EDUC","Students W/Behav Dis"
"EDUC","Tch Math/Mid Grdes"
"EDUC","Tch Socstdies/Md Sch"
"EDUC","Tching As Communic"
"EDUC","Tching Elem Lang Art"
"EDUC","Tchng Engl Secla"
"EDUC","Tchng Sci In Mid Sch"
"EDUC","Teach Of Science Ele"
"EDUC","Teach Phy Chal Indiv"
"EDUC","Teaching Elementary Reading I"
"EDUC","Teaching Elementary Reading II"
"EDUC","Teaching Elementary Science"
"EDUC","Teaching Internship"
"EDUC","Teaching Skills"
"EDUC","Teaching/Mathematics"
"EDUC","Teachng/Soc. Studies"
"EDUC","Technology for Teaching"
"EDUC","Technology for Today"
"EDUC","The Gifted Child"
"EDUC","The Multiply Handicapped Child"
"EDUC","Trans Services"
"EDUC","Tv Math For Everyday"
"EDUC","Tv The Dif Child"
"EDUC","Urban Schls/Soc-Pol"
"EDUC","Using Cul Res Of Nyc"
"EDUC","Writing Seminar"
"ENGL","Adv Pro Wrtng Wksh"
"ENGL","Advanced Reading"
"ENGL","Advanced Writing"
"ENGL","Af Am Lt II:1932-Pre"
"ENGL","African Amer. Lit I"
"ENGL","African And Carib Li"
"ENGL","African Diaspora Women Writers"
"ENGL","African Literature"
"ENGL","African Women’s Literature"
"ENGL","Afro Amer Lit I"
"ENGL","Afro-European Literature and C"
"ENGL","Am Lit I: Beg-Emanc Proclamat"
"ENGL","Am Lt II: Recon-Pres"
"ENGL","Amer Lit II"
"ENGL","Amer Writer In Paris"
"ENGL","American Literature"
"ENGL","Applied Linguistics"
"ENGL","Applied Literary Theory"
"ENGL","Approaches To Caribb"
"ENGL","Asian American Literature"
"ENGL","Basic Reading"
"ENGL","Basic Semantics"
"ENGL","Basic Writing"
"ENGL","Black Women Writers"
"ENGL","Brit Lit I: 8-18 Cen"
"ENGL","Brit Lit II:19-21 C"
"ENGL","Business Writing"
"ENGL","CATW WORKSHOP"
"ENGL","Caribbean Cosmopolitanism"
"ENGL","Caribbean Lit. II"
"ENGL","Caribbean Spirits, Postcolonia"
"ENGL","Child Literature I"
"ENGL","College English I"
"ENGL","College English II"
"ENGL","Comp Reading & Writi"
"ENGL","Composition I"
"ENGL","Composition I/Ii"
"ENGL","Composition II"
"ENGL","Contemp Amer Fiction"
"ENGL","Contemporary Drama"
"ENGL","Creative Writing"
"ENGL","Creative Writing/Drama"
"ENGL","Critical Issues In World Lit"
"ENGL","Critical Lit I/Ii"
"ENGL","Critical Literacy I"
"ENGL","Critical Literacy II"
"ENGL","Cunystart Reading"
"ENGL","Cunystart Writing"
"ENGL","Develmntal Writing"
"ENGL","Developmental Readin"
"ENGL","Developmental Writin"
"ENGL","Discrse Analys In Contemp Cult"
"ENGL","ENGL 112 WORKSHOP"
"ENGL","ENGR 6 Workshop"
"ENGL","ENGW 6 Workshop"
"ENGL","Eng For Secretaries"
"ENGL","Eng Independent Res"
"ENGL","Engl For Secretaries"
"ENGL","Engl Reading/Writing"
"ENGL","English For Secretar"
"ENGL","English Internship I"
"ENGL","English Read/Writing"
"ENGL","Ethnographic Playwriting: Stor"
"ENGL","Fiction Workshop"
"ENGL","Fiction Writing I"
"ENGL","Fiction Writing II"
"ENGL","Field Experience"
"ENGL","Folk Afro-Am Lt"
"ENGL","Freshman English"
"ENGL","Global Feminisms: Writing Gend"
"ENGL","Hear Our Voices Pt I"
"ENGL","Hon Sem/Engl Majors"
"ENGL","Independent Study"
"ENGL","Intermed Comp"
"ENGL","Intermediate Composition"
"ENGL","Intermediate Reading"
"ENGL","Intermediate Writing"
"ENGL","Intro Literature"
"ENGL","Intro To Film"
"ENGL","Intro To Literary Studies"
"ENGL","Intro To Mass Commun"
"ENGL","Intro to Creative Writing"
"ENGL","Introduction To Dram"
"ENGL","Introduction to Journalism"
"ENGL","Is/Afro-Amer Lit I"
"ENGL","Journalism"
"ENGL","Journalism: News/Wr"
"ENGL","Language Arts I"
"ENGL","Language Arts II"
"ENGL","Latin American Literature"
"ENGL","Ling: A Cross-Cult Perspect"
"ENGL","Lit/Global City I"
"ENGL","Literat of the Global City II"
"ENGL","Magazine Article Writing"
"ENGL","Masterpiece of World Lit"
"ENGL","Modernist Literature"
"ENGL","Moral Philosophy"
"ENGL","Myths Of Bible Greec"
"ENGL","Para Reading Lab"
"ENGL","Para Writing Lab"
"ENGL","Poetry Writing I"
"ENGL","Poetry Writing II"
"ENGL","Poetry Writing Workshop"
"ENGL","Poetry of Place: Voices of Exi"
"ENGL","Popular Culture: From Blackfac"
"ENGL","Popular Fiction"
"ENGL","Postcolonial Literature"
"ENGL","Professional Writing Workshop"
"ENGL","Reading"
"ENGL","Reading  Recitation"
"ENGL","Reading For Paras"
"ENGL","Reading Lab"
"ENGL","Resistance and Reformation in"
"ENGL","Senior Thesis"
"ENGL","Shakespeare Without Borders"
"ENGL","Slavery, Emancipation, and Emp"
"ENGL","Sp Topics/Lit II"
"ENGL","Sp. Topics/Literature III"
"ENGL","Special Topics in Literature I"
"ENGL","Survey Afro-Amer Lit"
"ENGL","Survey Amer Lit II"
"ENGL","Survey British Lit"
"ENGL","Survey British Lit I"
"ENGL","Survey Of British Lit"
"ENGL","Survey World Lit"
"ENGL","Technical Writing"
"ENGL","The American Novel"
"ENGL","The Body In Place And Culture"
"ENGL","The Craft of Writing"
"ENGL","The Harlem Renaissance: At Hom"
"ENGL","Transforming American Literatu"
"ENGL","Windrush to Brexit and Beyond:"
"ENGL","Workshop For Eng 112"
"ENGL","Workshop for ENGL 112"
"ENGL","World Literature/Evolve Canon"
"ENGL","World on the Move: 20th and 21"
"ENGL","Writing"
"ENGL","Writing  Recitation"
"ENGL","Writing For Paras"
"ENGL","Writing Lab"
"ENGL","Writing Lang Lab"
"ENGL","Writing for Science and Tech"
"ENGL","Writing for the World of Work"
"ENGL","Young Adult Literature"
"ENSL","ESLR 6 Workshop"
"ENSL","ESLW 6 Workshop"
"ENSL","Eng Sec Lang Read"
"ENSL","Eng Sec Lang Readi"
"ENSL","Eng Sec Lang Reading"
"ENSL","Eng Sec Lang Writing"
"ENSL","Engl Second Lang I"
"ENSL","English as a Second Language I"
"ENSL","Esl Reading Lab I"
"ENSL","Esl Writing Lab I"
"ENSL","Esl Writing Lab II"
"ENSL","Language Arts I"
"ENSL","Language Arts II"
"ENSL","Reading and Writing ESL"
"ENSL","Writing Esl I"
"ENSL","Writing Esl II"
"ETHN","Black Philosophy"
"EVSC","Air and Water Pollution"
"EVSC","Best Practi/Cannabis Envs Sci"
"EVSC","Commercializing Cannabis Sci."
"EVSC","Environmental Health Issues"
"EVSC","Environmental Science Elective"
"EVSC","Envmntl Occuptnal La"
